,PIE_,PIE_CONS1_,LGDP_,GROWTH_,GROWTH_CONS1_,GROWTH_CONS2_,GROWTH_CONS3_,GROWTH_CONS4_,GROWTH_CONS5_,UNR_,GROWTH_BAR_,UNR_BAR_,Y_
,CPI inflation,1 yr ahead consensus inflation,100* ln of real GDP,real GDP growth,1 yr ahead consensus GDP growth,2 yr ahead consensus GDP growth,3 yr ahead consensus GDP growth,4 yr ahead consensus GDP growth,5 yr ahead consensus GDP growth,unemployment rate,judgment on potential growth,judgment on NAIRU,judgment on output gap
1984Y,18.3,NaN,1247.08070317096,3.64113564464426,NaN,NaN,NaN,NaN,NaN,10.0428834635696,NaN,NaN,NaN
1985Y,22.4,NaN,1250.13511477004,3.10153733102274,NaN,NaN,NaN,NaN,NaN,10.4911205135696,NaN,NaN,NaN
1986Y,20.9,NaN,1255.81652940761,5.84590736589881,NaN,NaN,NaN,NaN,NaN,10.1216658135696,NaN,NaN,NaN
1987Y,24,NaN,1261.06282382217,5.38635095421727,NaN,NaN,NaN,NaN,NaN,8.44358357356962,NaN,NaN,NaN
1988Y,28.1,NaN,1265.63991758191,4.68345930443819,NaN,NaN,NaN,NaN,NaN,7.96952751356962,NaN,NaN,NaN
1989Y,26.1,NaN,1268.72548905463,3.13366864555826,NaN,NaN,NaN,NaN,NaN,6.57083662356962,NaN,NaN,NaN
1990Y,32.4,NaN,1271.58859940877,2.90449134235549,NaN,NaN,NaN,NaN,NaN,7.12189806356962,NaN,NaN,NaN
1991Y,26.8,NaN,1274.30098689685,2.74950757104142,NaN,NaN,NaN,NaN,NaN,7.69077820356962,NaN,NaN,NaN
1992Y,25.1,NaN,1277.6193728921,3.37405852647874,NaN,NaN,NaN,NaN,NaN,7.54701349356962,NaN,NaN,NaN
1993Y,22.6,NaN,1283.15349658506,5.69012068710149,NaN,NaN,NaN,NaN,NaN,7.46305636356962,NaN,NaN,NaN
1994Y,22.6,NaN,1288.26956309388,5.24919784163478,NaN,NaN,NaN,NaN,NaN,7.48822911356962,NaN,NaN,NaN
1995Y,19.5,NaN,1292.85066572976,4.68765601877859,NaN,NaN,NaN,NaN,NaN,8.20985789356962,NaN,NaN,NaN
1996Y,21.6,NaN,1296.78006671105,4.00762313196896,NaN,NaN,NaN,NaN,NaN,10.0811893135696,NaN,NaN,NaN
1997Y,17.7,NaN,1300.22399504983,3.5039182395566,NaN,NaN,NaN,NaN,NaN,10.3170028135696,NaN,NaN,NaN
1998Y,16.7,NaN,1300.59572515415,0.372421877587681,NaN,NaN,NaN,NaN,NaN,12.9194352135696,NaN,NaN,NaN
1999Y,9.2,NaN,1295.98961127101,-4.50164261738899,NaN,NaN,NaN,NaN,NaN,17.0341345135696,NaN,NaN,NaN
2000Y,8.8,NaN,1296.95820501676,0.973299796869775,NaN,NaN,NaN,NaN,NaN,17.4344982135696,NaN,NaN,NaN
2001Y,7.7,NaN,1299.88542006632,2.9704791014846,NaN,NaN,NaN,NaN,NaN,15.1306184216421,NaN,NaN,NaN
2002Y,7,NaN,1301.85738836925,1.9915400356292,NaN,NaN,NaN,NaN,NaN,15.8315772668652,NaN,NaN,NaN
2003Y,6.5,NaN,1306.31740948245,4.56097531975297,NaN,NaN,NaN,NaN,NaN,14.2987832256748,NaN,NaN,NaN
2004Y,5.5,NaN,1310.48164769278,4.25215877010439,NaN,NaN,NaN,NaN,NaN,13.7620564248038,NaN,NaN,NaN
2005Y,4.8,NaN,1315.16376015749,4.79345426523845,NaN,NaN,NaN,NaN,NaN,11.9083015147593,NaN,NaN,NaN
2006Y,4.5,NaN,1321.66461150426,6.71681096467609,NaN,NaN,NaN,NaN,NaN,12.1120822910167,NaN,NaN,NaN
2007Y,5.7,NaN,1328.18544454029,6.73813691680381,NaN,NaN,NaN,NaN,NaN,11.281256437,NaN,NaN,NaN
2008Y,7.7,NaN,1331.41619062422,3.28350128119559,NaN,NaN,NaN,NaN,NaN,11.386549076,NaN,NaN,NaN
2009Y,2,NaN,1332.54938564654,1.13963999882487,NaN,NaN,NaN,NaN,NaN,12.199591937,NaN,NaN,NaN
2010Y,3.2,NaN,1336.945955243,4.49465083915832,NaN,NaN,NaN,NaN,NaN,11.955879053,NaN,NaN,NaN
2011Y,3.7,NaN,1343.66316051299,6.94794691761937,NaN,NaN,NaN,NaN,NaN,10.972809452,NaN,NaN,NaN
2012Y,2.4,NaN,1347.50117452952,3.9126171402355,NaN,NaN,NaN,NaN,NaN,10.500343543,NaN,NaN,NaN
2013Y,1.9,NaN,1352.50766164531,5.13392957613348,4.34,4.48,4.49,4.5,4.5,9.733092864,NaN,NaN,NaN
2014Y,3.7,NaN,1356.90838733884,4.49899382853494,4.5,4.52,4.51,4.5,4.52,9.193751585,NaN,NaN,NaN
2015Y,6.8,4.62976744186047,1359.82148744917,2.95594590662247,3.24,3.61,3.89,4.1,4.19,8.941762735,NaN,NaN,NaN
2016Y,5.8,4.36093023255814,1361.88738262298,2.08738250162794,2.83,3.76,4.22,4.25,3.97,9.218281835,NaN,NaN,NaN
2017Y,4.1,3.46023255813953,1363.23759683344,1.35937076716115,2.94,3.55,3.6,3.6,3.63,9.287436578,NaN,NaN,NaN
2018Y,3.2,3.50146341463415,1365.76958404083,2.56431426582144,3.42,3.67,3.65,3.55,3.55,9.522594829,NaN,NaN,NaN
2019Y,3.8,3.35595238095238,1368.90671291273,3.18685539245533,3.65,3.75,3.75,3.75,3.7,10.364079087,NaN,NaN,-1.05064719
2020Y,1.6,2.72775,1361.59785472878,-7.04815120786543,4.04,3.65,3.85,3.85,3.75,15.722315467757,0.57097574,NaN,NaN
2021Y,5.62,3.90651162790698,1371.7424528809,10.677013073826,4.25795453849872,3.256,3.305,3.3225,3.35,13.8,NaN,NaN,NaN
2022Y,12.222,11.875,1379.16039269833,7.7,1.8,2.788,3.23,3.3,3.3,11.450744,NaN,NaN,NaN
2023Y,7.1362,6.74,1380.94438451116,1.8,2.788,3.23,3.3,3.3,3.3,10.768692,NaN,NaN,0.6
2024Y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
